datetime,open,high,low,close,volume
2026-08-20T17:44:00Z,29199.4,29204.6,29199.1,29203.4,207
2026-08-20T17:45:00Z,29203.0,29213.0,29200.8,29212.1,217
2026-08-20T17:46:00Z,29211.2,29215.4,29206.9,29213.5,212
2026-08-20T17:47:00Z,29214.1,29220.5,29212.3,29220.5,202
2026-08-20T17:48:00Z,29220.6,29224.8,29217.3,29220.6,204
2026-08-20T17:49:00Z,29220.3,29224.9,29218.5,29218.5,208
2026-08-20T17:50:00Z,29218.7,29232.9,29216.6,29232.4,211
2026-08-20T17:51:00Z,29232.8,29238.2,29228.5,29230.7,211
2026-08-20T17:52:00Z,29230.9,29232.7,29226.1,29226.5,198
2026-08-20T17:53:00Z,29226.2,29227.7,29219.1,29224.7,212
2026-08-20T17:54:00Z,29224.5,29226.3,29212.8,29214.5,210
2026-08-20T17:55:00Z,29214.4,29215.7,29208.9,29215.2,205
2026-08-20T17:56:00Z,29214.4,29221.1,29213.3,29220.4,205
2026-08-20T17:57:00Z,29219.8,29221.6,29214.7,29221.6,216
2026-08-20T17:58:00Z,29221.9,29222.8,29207.0,29211.2,205
2026-08-20T17:59:00Z,29208.7,29211.4,29204.1,29205.7,207
2026-08-20T18:00:00Z,29205.8,29205.8,29191.1,29194.9,212
2026-08-20T18:01:00Z,29194.5,29194.8,29188.4,29189.5,229
2026-08-20T18:02:00Z,29191.1,29192.1,29175.1,29176.5,225
2026-08-20T18:03:00Z,29175.3,29181.0,29170.8,29173.2,217
2026-08-20T18:04:00Z,29172.9,29175.3,29167.3,29173.7,208
2026-08-20T18:05:00Z,29173.3,29177.4,29153.0,29159.7,222
2026-08-20T18:06:00Z,29158.4,29160.9,29152.4,29153.4,223
2026-08-20T18:07:00Z,29154.1,29154.6,29143.7,29149.8,230
2026-08-20T18:08:00Z,29150.3,29151.3,29141.5,29142.7,213
2026-08-20T18:09:00Z,29142.8,29148.6,29142.8,29147.2,217
2026-08-20T18:10:00Z,29146.0,29146.0,29129.0,29131.9,213
2026-08-20T18:11:00Z,29131.7,29143.6,29128.8,29138.7,220
2026-08-20T18:12:00Z,29139.6,29151.7,29138.0,29139.1,214
2026-08-20T18:13:00Z,29139.3,29143.5,29132.5,29139.0,209
2026-08-20T18:14:00Z,29140.6,29144.5,29135.4,29143.5,196
2026-08-20T18:15:00Z,29143.4,29144.4,29129.0,29131.7,206
2026-08-20T18:16:00Z,29131.6,29131.6,29115.9,29119.6,223
2026-08-20T18:17:00Z,29120.2,29129.6,29120.2,29128.1,215
2026-08-20T18:18:00Z,29130.7,29143.3,29129.0,29141.8,221
2026-08-20T18:19:00Z,29141.5,29148.7,29141.2,29146.9,220
2026-08-20T18:20:00Z,29147.7,29160.0,29147.7,29160.0,224
2026-08-20T18:21:00Z,29159.5,29161.0,29148.8,29153.0,224
2026-08-20T18:22:00Z,29153.3,29160.9,29147.6,29148.5,211
2026-08-20T18:23:00Z,29148.8,29154.7,29146.2,29146.5,211
2026-08-20T18:24:00Z,29147.7,29151.6,29141.7,29143.3,224
2026-08-20T18:25:00Z,29142.3,29146.3,29137.1,29138.1,220
2026-08-20T18:26:00Z,29136.0,29141.7,29136.0,29137.4,216
2026-08-20T18:27:00Z,29137.8,29142.2,29133.9,29137.5,206
2026-08-20T18:28:00Z,29137.6,29146.1,29134.9,29142.6,206
2026-08-20T18:29:00Z,29142.9,29152.5,29142.9,29144.7,209
2026-08-20T18:30:00Z,29146.0,29150.0,29137.7,29141.3,216
2026-08-20T18:31:00Z,29139.6,29147.0,29136.9,29140.3,208
2026-08-20T18:32:00Z,29140.1,29143.2,29137.6,29138.8,209
2026-08-20T18:33:00Z,29138.6,29140.4,29129.9,29130.3,213
2026-08-20T18:34:00Z,29129.9,29131.9,29125.2,29129.4,211
2026-08-20T18:35:00Z,29128.9,29138.9,29127.9,29128.6,212
2026-08-20T18:36:00Z,29128.2,29144.6,29127.0,29144.6,216
2026-08-20T18:37:00Z,29144.2,29144.6,29137.7,29139.9,221
2026-08-20T18:38:00Z,29140.7,29142.8,29136.8,29141.2,217
2026-08-20T18:39:00Z,29141.5,29143.6,29135.2,29135.2,215
2026-08-20T18:40:00Z,29135.9,29138.0,29125.8,29131.1,199
2026-08-20T18:41:00Z,29132.7,29134.7,29129.4,29132.6,219
2026-08-20T18:42:00Z,29133.4,29144.2,29133.3,29140.7,197
2026-08-20T18:43:00Z,29141.2,29145.4,29138.5,29144.1,200
2026-08-20T18:44:00Z,29143.8,29148.1,29142.6,29147.4,209
2026-08-20T18:45:00Z,29148.0,29149.5,29140.6,29146.3,219
2026-08-20T18:46:00Z,29146.6,29147.8,29141.2,29144.4,206
2026-08-20T18:47:00Z,29144.7,29155.5,29142.4,29155.1,211
2026-08-20T18:48:00Z,29155.9,29166.0,29153.5,29162.5,218
2026-08-20T18:49:00Z,29162.8,29166.5,29162.2,29164.1,219
2026-08-20T18:50:00Z,29163.6,29167.6,29153.2,29154.7,220
2026-08-20T18:51:00Z,29154.6,29166.6,29153.7,29162.9,200
2026-08-20T18:52:00Z,29163.4,29167.6,29162.1,29165.2,207
2026-08-20T18:53:00Z,29165.4,29167.1,29157.7,29158.9,202
2026-08-20T18:54:00Z,29158.0,29162.8,29155.7,29162.5,211
2026-08-20T18:55:00Z,29162.4,29171.8,29160.3,29162.9,212
2026-08-20T18:56:00Z,29164.7,29168.2,29164.1,29166.2,212
2026-08-20T18:57:00Z,29165.7,29168.2,29161.2,29166.1,206
2026-08-20T18:58:00Z,29166.4,29167.5,29158.7,29167.5,205
2026-08-20T18:59:00Z,29167.4,29168.4,29156.5,29156.5,193
2026-08-20T19:00:00Z,29156.3,29168.9,29155.3,29165.0,221
2026-08-20T19:01:00Z,29165.2,29173.8,29164.2,29168.9,224
2026-08-20T19:02:00Z,29171.4,29184.2,29168.3,29184.1,215
2026-08-20T19:03:00Z,29183.3,29186.8,29179.6,29182.7,222
2026-08-20T19:04:00Z,29181.8,29188.3,29178.6,29185.6,214
