date,entry_time,side,vol,entry,sl,risk_pts,exit_time,reason,pl,pips,be,trail,early,max_locked_R,log,config
2024-02-29,14:32:45,Buy,2.0,39063.5,39013.5,50.0,14:40:07,StopLoss,-105.9,-50.4,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-03-06,14:31:26,Buy,2.0,38843.7,38793.69,50.0,14:35:09,StopLoss,-106.9,-50.9,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-03-07,14:31:45,Buy,2.0,38882.1,38832.1,50.0,14:45:26,StopLoss,-106.9,-50.9,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-03-12,14:31:00,Buy,2.0,38994.8,38944.8,50.0,14:46:07,StopLoss,3.7,4.4,1,0,1,,2024,vol1.4_be0.6_sl50_utc
2024-03-19,15:32:55,Buy,2.0,39016.2,38966.19,50.0,17:04:43,StopLoss,103.7,54.4,1,2,1,1.0,2024,vol1.4_be0.6_sl50_utc
2024-03-26,15:54:57,Buy,2.0,39430.85,39380.85,50.0,17:25:05,StopLoss,-105.5,-50.2,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-05-08,15:43:59,Buy,2.0,38962.95,38912.94,50.0,18:58:14,StopLoss,103.7,54.4,1,2,1,1.0,2024,vol1.4_be0.6_sl50_utc
2024-05-15,15:08:53,Buy,2.0,39808.45,39758.44,50.0,15:35:34,StopLoss,3.5,4.3,1,1,1,0.0,2024,vol1.4_be0.6_sl50_utc
2024-05-16,14:31:00,Buy,2.0,39999.35,39949.35,50.0,15:13:12,StopLoss,3.3,4.2,1,0,1,,2024,vol1.4_be0.6_sl50_utc
2024-05-21,14:36:52,Buy,2.0,39875.65,39825.65,50.0,16:06:19,StopLoss,-107.1,-51.0,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-05-27,15:23:55,Buy,2.0,39058.65,39008.65,50.0,20:50:00,Closed,121.9,63.5,1,0,1,,2024,vol1.4_be0.6_sl50_utc
2024-06-17,16:24:53,Buy,2.0,38656.15,38606.15,50.0,16:55:37,StopLoss,3.3,4.2,1,0,1,,2024,vol1.4_be0.6_sl50_utc
2024-07-10,16:15:55,Buy,2.0,39439.55,39389.55,50.0,17:23:44,StopLoss,103.7,54.4,1,1,1,1.0,2024,vol1.4_be0.6_sl50_utc
2024-07-12,14:31:00,Buy,2.0,39973.85,39923.85,50.0,14:40:58,StopLoss,-105.7,-50.3,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-08-26,14:31:00,Buy,2.0,41412.85,41362.85,50.0,14:38:47,StopLoss,-106.7,-50.8,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-09-02,15:04:50,Buy,2.0,41533.95,41483.94,50.0,20:50:00,Closed,-3.3,0.9,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-10-22,16:00:54,Buy,2.0,42856.85,42806.85,50.0,17:12:05,StopLoss,100.1,52.6,1,1,1,1.0,2024,vol1.4_be0.6_sl50_utc
2024-11-08,14:31:00,Buy,2.0,43843.94,43793.94,50.0,14:32:58,StopLoss,-105.46,-50.2,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-11-12,14:32:29,Buy,2.0,44407.64,44357.64,50.0,14:35:50,StopLoss,-106.66,-50.8,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-11-22,14:31:00,Buy,2.0,43948.94,43898.94,50.0,14:35:35,StopLoss,-105.66,-50.3,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-11-28,15:01:49,Buy,2.0,44810.4,44760.4,50.0,20:50:00,Closed,54.5,29.8,1,0,1,,2024,vol1.4_be0.6_sl50_utc
2024-12-02,14:31:00,Buy,2.0,45024.14,44974.14,50.0,14:31:57,StopLoss,-106.66,-50.8,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-12-03,14:31:00,Buy,2.0,44836.34,44786.34,50.0,14:35:00,StopLoss,-105.66,-50.3,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-12-04,14:31:50,Buy,2.0,44936.74,44886.74,50.0,14:35:31,StopLoss,100.74,52.9,1,1,1,1.0,2024,vol1.4_be0.6_sl50_utc
2024-12-06,14:31:57,Buy,2.0,44880.44,44830.44,50.0,14:35:41,StopLoss,-105.26,-50.1,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-12-09,14:33:24,Buy,2.0,44724.74,44674.74,50.0,14:35:56,StopLoss,-105.26,-50.1,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-12-12,14:31:00,Buy,2.0,44160.84,44110.84,50.0,14:34:45,StopLoss,-107.26,-51.1,0,0,0,,2024,vol1.4_be0.6_sl50_utc
2024-12-19,14:31:33,Buy,2.0,42671.94,42621.94,50.0,14:33:07,StopLoss,2.74,3.9,1,0,1,,2024,vol1.4_be0.6_sl50_utc
2025-01-03,14:31:00,Buy,2.0,42581.54,42531.54,50.0,14:34:56,StopLoss,-1.96,1.9,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-01-07,14:31:00,Buy,2.0,42887.74,42837.74,50.0,14:40:05,StopLoss,0.04,2.9,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-01-13,14:32:51,Buy,2.0,41925.74,41875.74,50.0,14:37:03,StopLoss,101.04,53.4,1,1,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-01-20,14:40:58,Buy,2.0,43754.4,43704.4,50.0,14:56:29,StopLoss,2.0,3.9,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-01-23,15:45:59,Buy,2.0,44300.54,44250.54,50.0,16:11:41,StopLoss,2.24,4.0,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-02-05,14:38:53,Buy,2.0,44596.34,44546.34,50.0,14:50:00,StopLoss,-106.36,-50.3,0,0,0,,2025,vol1.4_be0.6_sl50_utc
2025-02-10,14:31:26,Buy,2.0,44581.34,44531.34,50.0,14:32:40,StopLoss,2.64,4.2,1,1,1,0.0,2025,vol1.4_be0.6_sl50_utc
2025-02-17,16:30:44,Buy,2.0,44640.94,44590.94,50.0,20:50:00,Closed,-4.96,0.4,0,0,0,,2025,vol1.4_be0.6_sl50_utc
2025-02-25,14:31:00,Buy,2.0,43654.14,43604.14,50.0,14:34:07,StopLoss,98.64,52.2,1,1,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-04-22,15:59:51,Buy,2.0,39088.59,39038.58,50.0,16:01:30,StopLoss,191.24,98.5,1,3,1,2.0,2025,vol1.4_be0.6_sl50_utc
2025-05-02,16:01:44,Buy,2.0,41297.59,41247.58,50.0,16:16:33,StopLoss,102.84,54.3,1,2,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-05-06,16:15:00,Buy,2.0,41155.29,41105.29,50.0,16:16:09,StopLoss,-107.76,-51.0,0,0,0,,2025,vol1.4_be0.6_sl50_utc
2025-05-08,15:40:59,Buy,2.0,41592.49,41542.49,50.0,15:43:06,StopLoss,101.84,53.8,1,1,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-06-10,16:01:57,Buy,2.0,42812.79,42762.79,50.0,17:30:19,StopLoss,99.84,52.8,1,1,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-06-12,15:02:52,Buy,2.0,42892.39,42842.39,50.0,15:18:39,StopLoss,-110.76,-52.5,0,0,0,,2025,vol1.4_be0.6_sl50_utc
2025-06-26,15:30:54,Buy,2.0,43270.09,43220.09,50.0,17:18:08,StopLoss,102.04,53.9,1,2,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-07-01,14:31:00,Buy,2.0,44356.39,44306.39,50.0,14:42:50,StopLoss,-56.56,-25.4,0,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-07-23,16:00:00,Buy,2.0,44864.29,44814.29,50.0,16:23:05,StopLoss,1.44,3.6,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-08-04,14:51:55,Buy,2.0,44054.49,44004.49,50.0,15:19:14,StopLoss,0.84,3.3,1,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-09-04,16:30:50,Buy,2.0,45480.79,45430.79,50.0,18:21:17,StopLoss,200.04,102.9,1,2,1,2.0,2025,vol1.4_be0.6_sl50_utc
2025-09-22,16:03:57,Buy,2.0,46324.49,46274.49,50.0,17:58:24,StopLoss,103.04,54.4,1,1,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-10-03,14:31:00,Buy,2.0,46932.89,46882.89,50.0,15:00:00,StopLoss,1.04,3.4,1,0,1,,2025,vol1.4_be0.6_sl50_utc
