date,reason,range_width,clock,dst,year
2024-08-15,vol_filter_rejected,478.0,dst_30,summer (EDT),2024
2024-08-16,no_breakout,218.5,dst_30,summer (EDT),2024
2024-08-20,no_breakout,113.19999999999709,dst_30,summer (EDT),2024
2024-08-21,vol_filter_rejected,77.0,dst_30,summer (EDT),2024
2024-08-22,no_breakout,83.0,dst_30,summer (EDT),2024
2024-08-23,vol_filter_rejected,126.0,dst_30,summer (EDT),2024
2024-08-26,vol_filter_rejected,76.5,dst_30,summer (EDT),2024
2024-08-27,no_breakout,206.5,dst_30,summer (EDT),2024
2024-08-28,vol_filter_rejected,70.5,dst_30,summer (EDT),2024
2024-08-29,vol_filter_rejected,183.0,dst_30,summer (EDT),2024
2024-08-30,no_breakout,95.0,dst_30,summer (EDT),2024
2024-09-02,vol_filter_rejected,74.69999999999709,dst_30,summer (EDT),2024
2024-09-03,no_breakout,224.3000000000029,dst_30,summer (EDT),2024
2024-09-04,vol_filter_rejected,124.0,dst_30,summer (EDT),2024
2024-09-05,no_breakout,128.1999999999971,dst_30,summer (EDT),2024
2024-09-06,vol_filter_rejected,252.0,dst_30,summer (EDT),2024
2024-09-09,vol_filter_rejected,174.1999999999971,dst_30,summer (EDT),2024
2024-09-10,no_breakout,207.8000000000029,dst_30,summer (EDT),2024
2024-09-11,no_breakout,206.3000000000029,dst_30,summer (EDT),2024
2024-09-12,no_breakout,196.5,dst_30,summer (EDT),2024
2024-09-13,vol_filter_rejected,131.0,dst_30,summer (EDT),2024
2024-09-16,vol_filter_rejected,141.5,dst_30,summer (EDT),2024
2024-09-17,vol_filter_rejected,108.69999999999709,dst_30,summer (EDT),2024
2024-09-18,no_breakout,83.30000000000291,dst_30,summer (EDT),2024
2024-09-19,no_breakout,260.0,dst_30,summer (EDT),2024
2024-09-20,no_breakout,154.0,dst_30,summer (EDT),2024
2024-09-23,no_breakout,104.80000000000291,dst_30,summer (EDT),2024
2024-09-24,vol_filter_rejected,144.0,dst_30,summer (EDT),2024
2024-09-25,no_breakout,102.0,dst_30,summer (EDT),2024
2024-09-26,vol_filter_rejected,91.5,dst_30,summer (EDT),2024
2024-09-30,no_breakout,97.69999999999709,dst_30,summer (EDT),2024
2024-10-01,no_breakout,102.29999999999563,dst_30,summer (EDT),2024
2024-10-02,vol_filter_rejected,233.5,dst_30,summer (EDT),2024
2024-10-03,no_breakout,151.0,dst_30,summer (EDT),2024
2024-10-04,no_breakout,328.6999999999971,dst_30,summer (EDT),2024
2024-10-07,vol_filter_rejected,112.0,dst_30,summer (EDT),2024
2024-10-08,no_breakout,169.5,dst_30,summer (EDT),2024
2024-10-09,vol_filter_rejected,163.6999999999971,dst_30,summer (EDT),2024
2024-10-10,no_breakout,142.09999999999854,dst_30,summer (EDT),2024
2024-10-11,vol_filter_rejected,136.5,dst_30,summer (EDT),2024
2024-10-14,vol_filter_rejected,107.19999999999709,dst_30,summer (EDT),2024
2024-10-15,no_breakout,285.0,dst_30,summer (EDT),2024
2024-10-16,vol_filter_rejected,81.69999999999709,dst_30,summer (EDT),2024
2024-10-17,no_breakout,207.70000000000437,dst_30,summer (EDT),2024
2024-10-18,no_breakout,164.1999999999971,dst_30,summer (EDT),2024
2024-10-21,no_breakout,158.79999999999563,dst_30,summer (EDT),2024
2024-10-22,vol_filter_rejected,146.5,dst_30,summer (EDT),2024
2024-10-23,no_breakout,164.0,dst_30,summer (EDT),2024
2024-10-24,no_breakout,106.0,dst_30,summer (EDT),2024
2024-10-25,vol_filter_rejected,150.0,dst_30,summer (EDT),2024
2024-10-28,vol_filter_rejected,171.29999999999563,dst_30,summer (EDT),2024
2024-10-29,vol_filter_rejected,225.3000000000029,dst_30,summer (EDT),2024
2024-10-30,vol_filter_rejected,205.6999999999971,dst_30,summer (EDT),2024
2024-10-31,no_breakout,124.0,dst_30,summer (EDT),2024
2024-11-01,vol_filter_rejected,209.5,dst_30,summer (EDT),2024
2024-11-04,no_breakout,180.70000000000437,dst_30,winter (EST),2024
2024-11-05,vol_filter_rejected,89.30000000000291,dst_30,winter (EST),2024
2024-11-06,range_too_wide,566.6999999999971,dst_30,winter (EST),2024
2024-11-07,no_breakout,155.0,dst_30,winter (EST),2024
2024-11-08,vol_filter_rejected,123.0,dst_30,winter (EST),2024
2024-11-11,vol_filter_rejected,142.0,dst_30,winter (EST),2024
2024-11-12,no_breakout,185.0,dst_30,winter (EST),2024
2024-11-13,vol_filter_rejected,276.0,dst_30,winter (EST),2024
2024-11-14,no_breakout,141.0,dst_30,winter (EST),2024
2024-11-15,no_breakout,177.0,dst_30,winter (EST),2024
2024-11-19,range_too_wide,619.0,dst_30,winter (EST),2024
2024-11-20,no_breakout,180.0,dst_30,winter (EST),2024
2024-11-21,vol_filter_rejected,367.0,dst_30,winter (EST),2024
2024-11-22,vol_filter_rejected,235.0,dst_30,winter (EST),2024
2024-11-25,vol_filter_rejected,183.0,dst_30,winter (EST),2024
2024-11-26,no_breakout,284.0,dst_30,winter (EST),2024
2024-11-27,vol_filter_rejected,150.0,dst_30,winter (EST),2024
2024-11-29,vol_filter_rejected,151.79999999999563,dst_30,winter (EST),2024
2024-12-02,no_breakout,144.0,dst_30,winter (EST),2024
2024-12-03,no_breakout,99.0,dst_30,winter (EST),2024
2024-12-04,vol_filter_rejected,160.5,dst_30,winter (EST),2024
2024-12-05,no_breakout,127.5,dst_30,winter (EST),2024
2024-12-06,no_breakout,173.59999999999854,dst_30,winter (EST),2024
2024-12-09,no_breakout,121.80000000000291,dst_30,winter (EST),2024
2024-12-10,vol_filter_rejected,151.0,dst_30,winter (EST),2024
2024-12-11,no_breakout,191.5,dst_30,winter (EST),2024
2024-12-12,vol_filter_rejected,126.29999999999563,dst_30,winter (EST),2024
2024-12-13,no_breakout,133.5,dst_30,winter (EST),2024
2024-12-16,no_breakout,105.5,dst_30,winter (EST),2024
2024-12-17,no_breakout,132.1999999999971,dst_30,winter (EST),2024
2024-12-18,vol_filter_rejected,177.1999999999971,dst_30,winter (EST),2024
2024-12-19,no_breakout,292.5,dst_30,winter (EST),2024
2024-12-20,vol_filter_rejected,258.8000000000029,dst_30,winter (EST),2024
2024-12-23,no_breakout,364.5,dst_30,winter (EST),2024
2024-12-24,vol_filter_rejected,74.0,dst_30,winter (EST),2024
2024-12-25,no_range_data,,dst_30,winter (EST),2024
2024-12-27,no_breakout,207.5,dst_30,winter (EST),2024
2024-12-30,no_breakout,443.5,dst_30,winter (EST),2024
2024-12-31,vol_filter_rejected,171.0,dst_30,winter (EST),2024
2025-01-01,no_range_data,,dst_30,winter (EST),2025
2025-01-02,no_breakout,281.8000000000029,dst_30,winter (EST),2025
2025-01-03,vol_filter_rejected,161.79999999999563,dst_30,winter (EST),2025
2025-01-06,vol_filter_rejected,285.0,dst_30,winter (EST),2025
2025-01-07,no_breakout,227.20000000000437,dst_30,winter (EST),2025
2025-01-08,no_breakout,268.5,dst_30,winter (EST),2025
2025-01-09,no_scan_bars,181.3000000000029,dst_30,winter (EST),2025
2025-01-10,no_breakout,451.5,dst_30,winter (EST),2025
2025-01-13,vol_filter_rejected,188.0,dst_30,winter (EST),2025
2025-01-14,no_breakout,255.29999999999563,dst_30,winter (EST),2025
2025-01-15,range_too_wide,693.0,dst_30,winter (EST),2025
2025-01-16,no_breakout,283.0,dst_30,winter (EST),2025
2025-01-17,vol_filter_rejected,257.0,dst_30,winter (EST),2025
2025-01-20,vol_filter_rejected,286.0,dst_30,winter (EST),2025
2025-01-21,vol_filter_rejected,141.6999999999971,dst_30,winter (EST),2025
2025-01-22,no_breakout,178.8000000000029,dst_30,winter (EST),2025
2025-01-24,no_breakout,153.8000000000029,dst_30,winter (EST),2025
2025-01-27,vol_filter_rejected,325.29999999999563,dst_30,winter (EST),2025
2025-01-28,vol_filter_rejected,178.5,dst_30,winter (EST),2025
2025-01-29,vol_filter_rejected,122.5,dst_30,winter (EST),2025
2025-01-30,no_breakout,306.5,dst_30,winter (EST),2025
2025-01-31,no_breakout,112.20000000000437,dst_30,winter (EST),2025
2025-02-03,vol_filter_rejected,199.29999999999563,dst_30,winter (EST),2025
2025-02-04,vol_filter_rejected,199.6999999999971,dst_30,winter (EST),2025
2025-02-05,vol_filter_rejected,196.0,dst_30,winter (EST),2025
2025-02-06,no_breakout,196.3000000000029,dst_30,winter (EST),2025
2025-02-07,no_breakout,146.6999999999971,dst_30,winter (EST),2025
2025-02-10,no_breakout,224.1999999999971,dst_30,winter (EST),2025
2025-02-11,vol_filter_rejected,127.0,dst_30,winter (EST),2025
2025-02-12,no_breakout,458.6999999999971,dst_30,winter (EST),2025
2025-02-13,no_breakout,270.3000000000029,dst_30,winter (EST),2025
2025-02-14,vol_filter_rejected,195.0,dst_30,winter (EST),2025
2025-02-17,no_breakout,103.0,dst_30,winter (EST),2025
2025-02-18,no_breakout,178.5,dst_30,winter (EST),2025
2025-02-19,no_breakout,190.0,dst_30,winter (EST),2025
2025-02-20,no_breakout,125.79999999999563,dst_30,winter (EST),2025
2025-02-21,no_breakout,344.3000000000029,dst_30,winter (EST),2025
2025-02-24,no_breakout,219.0,dst_30,winter (EST),2025
2025-02-25,no_breakout,262.0,dst_30,winter (EST),2025
2025-02-26,vol_filter_rejected,127.0,dst_30,winter (EST),2025
2025-02-27,vol_filter_rejected,266.0,dst_30,winter (EST),2025
2025-02-28,vol_filter_rejected,205.70000000000437,dst_30,winter (EST),2025
2025-03-03,no_breakout,284.5,dst_30,winter (EST),2025
2025-03-04,no_breakout,344.20000000000437,dst_30,winter (EST),2025
2025-03-05,no_breakout,405.6999999999971,dst_30,winter (EST),2025
2025-03-06,vol_filter_rejected,367.0,dst_30,winter (EST),2025
2025-03-07,no_breakout,469.5,dst_30,winter (EST),2025
2025-03-10,no_breakout,373.0,dst_30,summer (EDT),2025
2025-03-11,no_breakout,311.5,dst_30,summer (EDT),2025
2025-03-12,range_too_wide,510.90000000000146,dst_30,summer (EDT),2025
2025-03-13,no_breakout,289.79999999999563,dst_30,summer (EDT),2025
2025-03-14,vol_filter_rejected,164.0,dst_30,summer (EDT),2025
2025-03-17,vol_filter_rejected,228.1999999999971,dst_30,summer (EDT),2025
2025-03-18,no_breakout,208.0,dst_30,summer (EDT),2025
2025-03-19,vol_filter_rejected,144.5,dst_30,summer (EDT),2025
2025-03-20,vol_filter_rejected,455.0,dst_30,summer (EDT),2025
2025-03-21,no_breakout,392.5,dst_30,summer (EDT),2025
2025-03-24,vol_filter_rejected,167.5,dst_30,summer (EDT),2025
2025-03-25,no_breakout,202.1999999999971,dst_30,summer (EDT),2025
2025-03-26,vol_filter_rejected,181.0,dst_30,summer (EDT),2025
2025-03-27,no_breakout,199.0,dst_30,summer (EDT),2025
2025-03-28,no_breakout,162.0,dst_30,summer (EDT),2025
2025-03-31,vol_filter_rejected,219.5,dst_30,summer (EDT),2025
2025-04-01,vol_filter_rejected,283.8000000000029,dst_30,summer (EDT),2025
2025-04-02,vol_filter_rejected,321.0,dst_30,summer (EDT),2025
2025-04-03,no_breakout,356.79999999999563,dst_30,summer (EDT),2025
2025-04-04,range_too_wide,1335.0,dst_30,summer (EDT),2025
2025-04-07,range_too_wide,1011.0,dst_30,summer (EDT),2025
2025-04-08,range_too_wide,829.0,dst_30,summer (EDT),2025
2025-04-09,range_too_wide,1083.300000000003,dst_30,summer (EDT),2025
2025-04-10,no_breakout,419.20000000000437,dst_30,summer (EDT),2025
2025-04-11,range_too_wide,663.0,dst_30,summer (EDT),2025
2025-04-14,vol_filter_rejected,308.5,dst_30,summer (EDT),2025
2025-04-15,vol_filter_rejected,335.79999999999563,dst_30,summer (EDT),2025
2025-04-16,range_too_wide,510.6999999999971,dst_30,summer (EDT),2025
2025-04-17,range_too_wide,1024.300000000003,dst_30,summer (EDT),2025
2025-04-21,no_breakout,215.6999999999971,dst_30,summer (EDT),2025
2025-04-22,vol_filter_rejected,213.20000000000437,dst_30,summer (EDT),2025
2025-04-23,vol_filter_rejected,255.0,dst_30,summer (EDT),2025
2025-04-24,vol_filter_rejected,323.5,dst_30,summer (EDT),2025
2025-04-25,no_breakout,335.8000000000029,dst_30,summer (EDT),2025
2025-04-28,vol_filter_rejected,259.0,dst_30,summer (EDT),2025
2025-04-29,vol_filter_rejected,241.5,dst_30,summer (EDT),2025
2025-04-30,no_breakout,499.3000000000029,dst_30,summer (EDT),2025
2025-05-01,vol_filter_rejected,213.0,dst_30,summer (EDT),2025
2025-05-02,vol_filter_rejected,394.6999999999971,dst_30,summer (EDT),2025
2025-05-05,vol_filter_rejected,118.80000000000291,dst_30,summer (EDT),2025
2025-05-06,vol_filter_rejected,256.5,dst_30,summer (EDT),2025
2025-05-07,no_breakout,197.0,dst_30,summer (EDT),2025
2025-05-08,vol_filter_rejected,259.29999999999563,dst_30,summer (EDT),2025
2025-05-09,no_breakout,251.8000000000029,dst_30,summer (EDT),2025
2025-05-12,no_breakout,370.0,dst_30,summer (EDT),2025
2025-05-13,no_breakout,251.5,dst_30,summer (EDT),2025
2025-05-14,no_breakout,149.5,dst_30,summer (EDT),2025
2025-05-15,vol_filter_rejected,191.5,dst_30,summer (EDT),2025
2025-05-16,no_breakout,171.3000000000029,dst_30,summer (EDT),2025
2025-05-19,vol_filter_rejected,193.0,dst_30,summer (EDT),2025
2025-05-20,no_breakout,141.6999999999971,dst_30,summer (EDT),2025
2025-05-21,no_breakout,283.0,dst_30,summer (EDT),2025
2025-05-22,vol_filter_rejected,275.0,dst_30,summer (EDT),2025
2025-05-23,range_too_wide,774.6999999999971,dst_30,summer (EDT),2025
2025-05-26,no_breakout,100.0,dst_30,summer (EDT),2025
2025-05-27,vol_filter_rejected,165.5,dst_30,summer (EDT),2025
2025-05-28,no_breakout,159.5,dst_30,summer (EDT),2025
2025-05-29,range_too_wide,538.3000000000029,dst_30,summer (EDT),2025
2025-05-30,vol_filter_rejected,276.1999999999971,dst_30,summer (EDT),2025
2025-06-02,no_breakout,184.90000000000146,dst_30,summer (EDT),2025
2025-06-03,vol_filter_rejected,205.0,dst_30,summer (EDT),2025
2025-06-04,no_breakout,153.0,dst_30,summer (EDT),2025
2025-06-05,no_breakout,274.3000000000029,dst_30,summer (EDT),2025
2025-06-06,vol_filter_rejected,332.5,dst_30,summer (EDT),2025
2025-06-09,no_breakout,75.0,dst_30,summer (EDT),2025
2025-06-10,vol_filter_rejected,149.29999999999563,dst_30,summer (EDT),2025
2025-06-11,no_breakout,380.70000000000437,dst_30,summer (EDT),2025
2025-06-12,vol_filter_rejected,213.5,dst_30,summer (EDT),2025
2025-06-13,vol_filter_rejected,193.1999999999971,dst_30,summer (EDT),2025
2025-06-16,vol_filter_rejected,165.1999999999971,dst_30,summer (EDT),2025
2025-06-17,vol_filter_rejected,155.8000000000029,dst_30,summer (EDT),2025
2025-06-18,vol_filter_rejected,170.79999999999563,dst_30,summer (EDT),2025
2025-06-19,no_breakout,181.70000000000437,dst_30,summer (EDT),2025
2025-06-20,no_breakout,364.6999999999971,dst_30,summer (EDT),2025
2025-06-23,vol_filter_rejected,226.5,dst_30,summer (EDT),2025
2025-06-24,vol_filter_rejected,132.3000000000029,dst_30,summer (EDT),2025
2025-06-25,no_breakout,77.69999999999709,dst_30,summer (EDT),2025
2025-06-26,vol_filter_rejected,90.30000000000291,dst_30,summer (EDT),2025
2025-06-27,vol_filter_rejected,83.0,dst_30,summer (EDT),2025
2025-06-30,no_breakout,80.0,dst_30,summer (EDT),2025
2025-07-01,vol_filter_rejected,91.5,dst_30,summer (EDT),2025
