date,entry_utc,range_width,entry,exit,reason,R,peak_R,clock,dst,year
2024-12-20,2024-12-20 14:35:00,258.8000000000029,42361.1,42309.6,SL,-1.0,0.0,as-is,winter (EST),2024
2024-12-26,2024-12-26 16:25:00,212.6999999999971,43201.2,43222.7,KILL,0.4174757281553398,0.5533980582524272,as-is,winter (EST),2024
2025-01-03,2025-01-03 14:35:00,161.79999999999563,42596.2,42544.7,SL,-1.0,0.0,as-is,winter (EST),2025
2025-01-07,2025-01-07 14:35:00,227.20000000000437,42820.7,42769.2,SL,-1.0,0.0,as-is,winter (EST),2025
2025-01-13,2025-01-13 14:35:00,188.0,41853.0,41956.0,SL,2.0,3.5242718446601944,as-is,winter (EST),2025
2025-01-23,2025-01-23 14:35:00,115.80000000000291,44168.9,44173.4,SL,0.08737864077669903,0.6116504854368932,as-is,winter (EST),2025
2025-01-27,2025-01-27 14:35:00,325.29999999999563,44292.1,44240.6,SL,-1.0,0.0,as-is,winter (EST),2025
2025-01-29,2025-01-29 14:35:00,122.5,44873.8,44822.3,SL,-1.0,0.0,as-is,winter (EST),2025
2025-02-03,2025-02-03 14:35:00,199.29999999999563,44030.0,43978.5,SL,-1.0,0.0,as-is,winter (EST),2025
2025-02-05,2025-02-05 14:35:00,196.0,44551.4,44499.9,SL,-1.0,0.39805825242718446,as-is,winter (EST),2025
2025-02-25,2025-02-25 14:35:00,262.0,43659.0,43607.5,SL,-1.0,0.0,as-is,winter (EST),2025
2025-02-27,2025-02-27 14:35:00,266.0,43637.1,43585.6,SL,-1.0,0.0,as-is,winter (EST),2025
2025-04-22,2025-04-22 16:00:00,460.5,39153.1,39157.6,SL,0.08737864077669903,0.9514563106796117,as-is,summer (EDT),2025
2025-05-02,2025-05-02 16:00:00,409.5,41321.4,41325.9,SL,0.08737864077669903,0.9378640776698182,as-is,summer (EDT),2025
2025-07-23,2025-07-23 15:55:00,177.29999999999563,44886.9,44891.4,SL,0.08737864077669903,1.3786407766990292,as-is,summer (EDT),2025
2025-11-10,2025-11-10 14:35:00,170.8000000000029,47310.8,47259.3,SL,-1.0,0.0,as-is,winter (EST),2025
2025-11-11,2025-11-11 14:35:00,109.09999999999854,47467.8,47416.3,SL,-1.0,0.3766990291261006,as-is,winter (EST),2025
2025-11-12,2025-11-12 14:35:00,101.69999999999709,48297.8,48349.3,SL,1.0,2.5223300970872655,as-is,winter (EST),2025
2025-11-26,2025-11-26 14:35:00,144.6999999999971,47323.3,47327.8,SL,0.08737864077669903,1.1669902912621077,as-is,winter (EST),2025
2025-12-05,2025-12-05 14:35:00,167.09999999999854,47932.0,47936.5,SL,0.08737864077669903,1.361165048543661,as-is,winter (EST),2025
2025-12-09,2025-12-09 14:35:00,137.8000000000029,47811.0,47815.5,SL,0.08737864077669903,0.8504854368932604,as-is,winter (EST),2025
2025-12-24,2025-12-24 14:35:00,66.30000000000291,48455.2,48689.2,KILL,4.543689320388349,4.576699029126298,as-is,winter (EST),2025
2025-12-26,2025-12-26 14:35:00,95.10000000000582,48719.4,48723.9,SL,0.08737864077669903,0.6252427184465454,as-is,winter (EST),2025
2026-01-08,2026-01-08 14:35:00,145.90000000000146,48903.9,48908.4,SL,0.08737864077669903,1.256310679611594,as-is,winter (EST),2026
2026-01-15,2026-01-15 14:35:00,219.90000000000146,49357.3,49305.8,SL,-1.0,0.0,as-is,winter (EST),2026
2026-01-22,2026-01-22 14:35:00,215.60000000000582,49546.8,49495.3,SL,-1.0,0.0,as-is,winter (EST),2026
2026-01-26,2026-01-26 14:35:00,187.29999999999563,49256.0,49260.5,SL,0.08737864077669903,0.6815533980582241,as-is,winter (EST),2026
2026-02-10,2026-02-10 14:35:00,203.5,50306.1,50409.1,SL,2.0,3.8737864077669903,as-is,winter (EST),2026
2026-02-26,2026-02-26 14:35:00,350.8000000000029,49765.5,49714.0,SL,-1.0,0.0,as-is,winter (EST),2026
2023-07-10,2023-07-10 13:35:00,142.59999999999854,33828.7,33880.2,SL,1.0,2.702912621359308,dst_open,summer (EDT),2023
2023-07-11,2023-07-11 13:35:00,214.60000000000582,34102.8,34051.3,SL,-1.0,0.0,dst_open,summer (EDT),2023
2023-07-18,2023-07-18 13:35:00,86.19999999999709,34658.0,34969.3,KILL,6.0446601941748135,6.566990291262079,dst_open,summer (EDT),2023
2023-07-19,2023-07-19 13:35:00,109.10000000000582,35121.5,35173.0,SL,1.0,2.7242718446602505,dst_open,summer (EDT),2023
2023-07-20,2023-07-20 13:35:00,95.69999999999709,35238.2,35242.7,SL,0.08737864077669903,1.4427184466019982,dst_open,summer (EDT),2023
2023-07-24,2023-07-24 13:35:00,85.59999999999854,35343.0,35347.5,SL,0.08737864077669903,0.8951456310679329,dst_open,summer (EDT),2023
2023-07-26,2023-07-26 13:35:00,124.19999999999709,35481.2,35429.7,SL,-1.0,0.1708737864078235,dst_open,summer (EDT),2023
2023-08-01,2023-08-01 13:35:00,96.0,35665.6,35670.1,SL,0.08737864077669903,0.9611650485436893,dst_open,summer (EDT),2023
2023-08-07,2023-08-07 13:35:00,133.90000000000146,35344.7,35392.8,KILL,0.9339805825243849,1.7398058252428314,dst_open,summer (EDT),2023
2023-08-16,2023-08-16 13:35:00,163.90000000000146,35085.5,35090.0,SL,0.08737864077669903,1.1941747572815533,dst_open,summer (EDT),2023
2023-08-25,2023-08-25 13:35:00,131.1999999999971,34281.9,34230.4,SL,-1.0,0.06990291262133097,dst_open,summer (EDT),2023
2023-08-28,2023-08-28 13:35:00,128.0,34608.8,34613.3,SL,0.08737864077669903,1.163106796116392,dst_open,summer (EDT),2023
2023-08-30,2023-08-30 13:35:00,115.0,34949.3,34953.8,SL,0.08737864077669903,1.7999999999999434,dst_open,summer (EDT),2023
2023-09-11,2023-09-11 13:35:00,120.40000000000146,34746.6,34695.1,SL,-1.0,0.16699029126210765,dst_open,summer (EDT),2023
2023-09-13,2023-09-13 13:35:00,137.79999999999563,34712.1,34716.6,SL,0.08737864077669903,0.714563106796173,dst_open,summer (EDT),2023
