date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2024-06-20,SHORT,2024-06-20 10:00:00-04:00,19935.9,19975.9,19815.9,40,120.0,TP,19815.9,120.0,3.0,28,140,-8.7,128.2,126.8,2212,1.484,0.986,1.323,2244.0,3,2024-06-20,300.0,2024,2024-06,2024-W25,2024-06-17
2024-06-24,SHORT,2024-06-24 10:25:00-04:00,19621.6,19661.6,19501.6,40,120.0,SL,19661.6,-40.0,-1.0,1,5,-40.5,6.2,134.1,2208,1.283,0.958,0.817,2304.7,0,2024-06-24,-100.0,2024,2024-06,2024-W26,2024-06-24
2024-06-25,LONG,2024-06-25 10:00:00-04:00,19609.3,19569.3,19729.3,40,120.0,TIMEOUT,19692.5,83.2,2.08,72,360,-35.8,105.2,121.3,2248,1.651,1.012,1.506,2220.8,1,2024-06-25,208.0,2024,2024-06,2024-W26,2024-06-24
2024-06-27,LONG,2024-06-27 10:00:00-04:00,19798.3,19758.3,19918.3,40,120.0,SL,19758.3,-40.0,-1.0,10,50,-57.0,55.0,72.1,2270,1.528,0.969,1.3,2342.3,3,2024-06-27,-100.0,2024,2024-06,2024-W26,2024-06-24
2024-06-28,LONG,2024-06-28 10:00:00-04:00,19973.3,19933.3,20093.3,40,120.0,SL,19933.3,-40.0,-1.0,8,40,-49.5,53.3,111.4,2268,1.376,1.026,1.397,2210.7,4,2024-06-28,-100.0,2024,2024-06,2024-W26,2024-06-24
2024-07-01,SHORT,2024-07-01 10:10:00-04:00,19578.6,19618.6,19458.6,40,120.0,SL,19618.6,-40.0,-1.0,1,5,-97.4,8.3,118.3,2456,1.57,1.037,1.333,2367.7,0,2024-07-01,-100.0,2024,2024-07,2024-W27,2024-07-01
2024-07-02,LONG,2024-07-02 10:00:00-04:00,19831.8,19791.8,19951.8,40,120.0,SL,19791.8,-40.0,-1.0,2,10,-52.4,17.5,105.3,2387,1.598,0.998,1.425,2391.0,1,2024-07-02,-100.0,2024,2024-07,2024-W27,2024-07-01
2024-07-03,LONG,2024-07-03 10:10:00-04:00,20046.1,20006.1,20166.1,40,120.0,TP,20166.1,120.0,3.0,25,125,-39.2,130.6,76.0,2232,1.456,1.009,1.167,2211.0,2,2024-07-03,300.0,2024,2024-07,2024-W27,2024-07-01
2024-07-04,SHORT,2024-07-04 10:00:00-04:00,20155.1,20195.1,20035.1,40,120.0,TIMEOUT,20143.2,11.9,0.297,35,175,-12.0,19.3,13.1,738,1.645,0.914,1.177,807.0,3,2024-07-04,29.7,2024,2024-07,2024-W27,2024-07-01
2024-07-05,LONG,2024-07-05 10:00:00-04:00,20299.8,20259.8,20419.8,40,120.0,SL,20259.8,-40.0,-1.0,1,5,-55.5,10.9,110.8,2248,1.348,0.957,1.095,2349.7,4,2024-07-05,-100.0,2024,2024-07,2024-W27,2024-07-01
2024-07-08,LONG,2024-07-08 10:10:00-04:00,20409.9,20369.9,20529.9,40,120.0,SL,20369.9,-40.0,-1.0,5,25,-50.1,4.2,52.2,2070,1.59,0.935,1.043,2213.3,0,2024-07-08,-100.0,2024,2024-07,2024-W28,2024-07-08
2024-07-09,LONG,2024-07-09 10:10:00-04:00,20534.6,20494.6,20654.6,40,120.0,SL,20494.6,-40.0,-1.0,2,10,-41.3,6.4,43.6,2080,1.537,0.929,1.012,2240.0,1,2024-07-09,-100.0,2024,2024-07,2024-W28,2024-07-08
2024-07-10,LONG,2024-07-10 10:00:00-04:00,20552.6,20512.6,20672.6,40,120.0,SL,20512.6,-40.0,-1.0,8,40,-40.8,19.1,69.4,2118,1.84,0.954,1.364,2220.3,2,2024-07-10,-100.0,2024,2024-07,2024-W28,2024-07-08
2024-07-11,SHORT,2024-07-11 10:10:00-04:00,20532.7,20572.7,20412.7,40,120.0,TP,20412.7,120.0,3.0,8,40,-2.2,121.0,117.9,2362,1.202,1.04,1.256,2271.7,3,2024-07-11,300.0,2024,2024-07,2024-W28,2024-07-08
2024-07-12,LONG,2024-07-12 10:00:00-04:00,20340.0,20300.0,20460.0,40,120.0,TP,20460.0,120.0,3.0,42,210,-33.5,129.6,129.6,2306,1.317,1.014,1.25,2274.7,4,2024-07-12,300.0,2024,2024-07,2024-W28,2024-07-08
2024-07-15,LONG,2024-07-15 10:00:00-04:00,20462.2,20422.2,20582.2,40,120.0,TP,20582.2,120.0,3.0,16,80,-16.8,130.9,56.4,2262,1.612,0.956,1.338,2367.3,0,2024-07-15,300.0,2024,2024-07,2024-W29,2024-07-15
2024-07-16,SHORT,2024-07-16 10:00:00-04:00,20331.5,20371.5,20211.5,40,120.0,SL,20371.5,-40.0,-1.0,8,40,-49.7,43.1,111.4,2392,1.617,1.053,1.572,2272.2,1,2024-07-16,-100.0,2024,2024-07,2024-W29,2024-07-15
