week,week_start,trades,wins,losses,usd
2025-W26,2025-06-23,4,3,1,489.32
2025-W27,2025-06-30,5,2,3,-7.05
2025-W28,2025-07-07,4,2,2,189.32
2025-W29,2025-07-14,5,4,1,607.05
2025-W30,2025-07-21,5,0,5,-513.35
2025-W31,2025-07-28,3,1,2,-8.01
2025-W32,2025-08-04,5,3,2,386.65
2025-W33,2025-08-11,4,3,1,411.62
2025-W34,2025-08-18,5,1,4,-213.35
2025-W35,2025-08-25,5,3,2,268.35
2025-W36,2025-09-01,4,2,2,35.32
2025-W37,2025-09-08,4,2,2,189.32
2025-W38,2025-09-15,4,0,4,-410.68
2025-W39,2025-09-22,3,2,1,291.99
2025-W40,2025-09-29,5,2,3,86.65
2025-W41,2025-10-06,5,2,3,86.65
2025-W42,2025-10-13,5,1,4,-213.35
2025-W43,2025-10-20,5,4,1,686.65
2025-W44,2025-10-27,4,1,3,-110.68
2025-W45,2025-11-03,5,1,4,-213.35
2025-W46,2025-11-10,4,2,2,189.32
2025-W47,2025-11-17,3,0,3,-308.01
2025-W48,2025-11-24,4,2,2,112.62
2025-W49,2025-12-01,4,0,4,-410.68
2025-W50,2025-12-08,5,4,1,686.65
2025-W51,2025-12-15,5,1,4,-213.35
2025-W52,2025-12-22,4,3,1,489.32
2026-W01,2025-12-29,4,4,0,442.92
2026-W02,2026-01-05,5,3,2,386.65
2026-W03,2026-01-12,5,1,4,-213.35
2026-W04,2026-01-19,2,1,1,94.66
2026-W05,2026-01-26,5,1,4,-213.35
2026-W06,2026-02-02,4,3,1,489.32
2026-W07,2026-02-09,3,0,3,-308.01
2026-W08,2026-02-16,3,0,3,-308.01
2026-W09,2026-02-23,4,3,1,489.32
2026-W10,2026-03-02,2,1,1,94.66
2026-W12,2026-03-16,2,0,2,-205.34
2026-W13,2026-03-23,2,0,2,-205.34
2026-W15,2026-04-06,1,1,0,197.33
2026-W16,2026-04-13,4,2,2,189.32
2026-W17,2026-04-20,5,1,4,-213.35
2026-W18,2026-04-27,5,2,3,86.65
2026-W19,2026-05-04,5,2,3,86.65
2026-W20,2026-05-11,3,1,2,-8.01
2026-W21,2026-05-18,3,0,3,-308.01
2026-W22,2026-05-25,5,2,3,133.35
2026-W23,2026-06-01,4,3,1,489.32
2026-W24,2026-06-08,1,0,1,-102.67
2026-W25,2026-06-15,2,1,1,94.66
2026-W26,2026-06-22,4,3,1,489.32
2026-W27,2026-06-29,3,2,1,122.69
