date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2023-08-22,SHORT,2023-08-22 10:05:00-04:00,34416.6,34491.6,34154.1,75,262.5,TIMEOUT,34295.3,121.3,1.617,71,355,-36.3,155.4,140.2,2186,1.465,0.965,1.177,2264.7,1,2023-08-22,161.7,2023,2023-08,2023-W34,2023-08-21
2023-08-23,LONG,2023-08-23 10:00:00-04:00,34393.6,34318.6,34656.1,75,262.5,TIMEOUT,34494.2,100.6,1.341,72,360,-48.4,157.5,65.5,2134,1.489,0.983,1.424,2170.3,2,2023-08-23,134.1,2023,2023-08,2023-W34,2023-08-21
2023-08-24,LONG,2023-08-24 10:00:00-04:00,34653.0,34578.0,34915.5,75,262.5,SL,34578.0,-75.0,-1.0,1,5,-86.8,2.2,45.1,2306,1.494,1.007,1.512,2290.7,3,2023-08-24,-100.0,2023,2023-08,2023-W34,2023-08-21
2023-08-25,SHORT,2023-08-25 10:05:00-04:00,34185.4,34260.4,33922.9,75,262.5,SL,34260.4,-75.0,-1.0,2,10,-174.7,0.0,81.4,2468,1.714,1.132,1.761,2179.7,4,2023-08-25,-100.0,2023,2023-08,2023-W34,2023-08-21
2023-08-28,LONG,2023-08-28 10:00:00-04:00,34603.0,34528.0,34865.5,75,262.5,SL,34528.0,-75.0,-1.0,13,65,-90.7,27.5,82.0,2310,1.583,0.995,1.468,2322.7,0,2023-08-28,-100.0,2023,2023-08,2023-W35,2023-08-28
2023-08-29,LONG,2023-08-29 10:00:00-04:00,34685.1,34610.1,34947.6,75,262.5,TIMEOUT,34873.9,188.8,2.517,72,360,-67.6,193.5,61.5,2468,1.73,1.089,1.867,2267.3,1,2023-08-29,251.7,2023,2023-08,2023-W35,2023-08-28
2023-08-30,LONG,2023-08-30 10:00:00-04:00,34997.6,34922.6,35260.1,75,262.5,SL,34922.6,-75.0,-1.0,4,20,-104.9,14.5,108.2,2290,1.331,0.994,1.33,2304.3,2,2023-08-30,-100.0,2023,2023-08,2023-W35,2023-08-28
2023-08-31,SHORT,2023-08-31 10:00:00-04:00,34991.0,35066.0,34728.5,75,262.5,TP,34728.5,262.5,3.5,71,355,-23.6,269.4,92.3,2254,1.395,0.969,1.204,2325.7,3,2023-08-31,350.0,2023,2023-08,2023-W35,2023-08-28
2023-09-04,SHORT,2023-09-04 10:00:00-04:00,34829.5,34904.5,34567.0,75,262.5,TIMEOUT,34791.7,37.8,0.504,35,175,-3.7,72.4,57.3,1038,1.585,1.246,2.757,833.3,0,2023-09-04,50.4,2023,2023-09,2023-W36,2023-09-04
2023-09-05,SHORT,2023-09-05 10:00:00-04:00,34786.5,34861.5,34524.0,75,262.5,TIMEOUT,34657.1,129.4,1.725,72,360,-40.9,141.3,92.7,2278,1.477,1.0,1.345,2277.7,1,2023-09-05,172.5,2023,2023-09,2023-W36,2023-09-04
2023-09-06,SHORT,2023-09-06 10:00:00-04:00,34533.6,34608.6,34271.1,75,262.5,TIMEOUT,34441.4,92.2,1.229,72,360,-64.6,235.5,65.4,2446,1.81,1.1,1.876,2222.7,2,2023-09-06,122.9,2023,2023-09,2023-W36,2023-09-04
2023-09-07,LONG,2023-09-07 10:00:00-04:00,34441.7,34366.7,34704.2,75,262.5,TIMEOUT,34498.5,56.8,0.757,72,360,-71.9,119.3,83.4,2294,1.488,0.993,1.35,2311.0,3,2023-09-07,75.7,2023,2023-09,2023-W36,2023-09-04
2023-09-08,LONG,2023-09-08 10:00:00-04:00,34554.3,34479.3,34816.8,75,262.5,TIMEOUT,34575.8,21.5,0.287,72,360,-62.8,74.2,71.4,2138,1.594,0.975,1.391,2192.3,4,2023-09-08,28.7,2023,2023-09,2023-W36,2023-09-04
2023-09-18,SHORT,2023-09-18 10:00:00-04:00,34561.1,34636.1,34298.6,75,262.5,SL,34636.1,-75.0,-1.0,7,35,-84.9,24.8,64.0,2272,1.62,0.992,1.47,2289.7,0,2023-09-18,-100.0,2023,2023-09,2023-W38,2023-09-18
2023-09-19,SHORT,2023-09-19 10:00:00-04:00,34472.4,34547.4,34209.9,75,262.5,SL,34547.4,-75.0,-1.0,69,345,-78.5,168.9,136.2,2122,1.477,0.951,1.249,2230.3,1,2023-09-19,-100.0,2023,2023-09,2023-W38,2023-09-18
2023-09-20,LONG,2023-09-20 10:00:00-04:00,34668.5,34593.5,34931.0,75,262.5,SL,34593.5,-75.0,-1.0,48,240,-88.7,110.2,62.8,2130,1.793,0.958,1.38,2224.0,2,2023-09-20,-100.0,2023,2023-09,2023-W38,2023-09-18
2023-09-21,LONG,2023-09-21 10:15:00-04:00,34351.1,34276.1,34613.6,75,262.5,SL,34276.1,-75.0,-1.0,6,30,-80.5,7.5,124.6,2346,1.283,1.086,1.497,2160.0,3,2023-09-21,-100.0,2023,2023-09,2023-W38,2023-09-18
2023-09-25,SHORT,2023-09-25 10:25:00-04:00,33805.3,33880.3,33542.8,75,262.5,SL,33880.3,-75.0,-1.0,10,50,-125.4,36.7,90.1,2272,1.235,0.993,0.959,2287.3,0,2023-09-25,-100.0,2023,2023-09,2023-W39,2023-09-25
2023-09-26,SHORT,2023-09-26 10:00:00-04:00,33779.7,33854.7,33517.2,75,262.5,TIMEOUT,33621.7,158.0,2.107,72,360,-41.2,231.0,137.6,2278,1.51,1.058,1.786,2153.0,1,2023-09-26,210.7,2023,2023-09,2023-W39,2023-09-25
2023-09-27,SHORT,2023-09-27 10:00:00-04:00,33586.6,33661.6,33324.1,75,262.5,TP,33324.1,262.5,3.5,41,205,-39.0,271.8,69.6,2198,1.529,0.97,1.367,2266.7,2,2023-09-27,350.0,2023,2023-09,2023-W39,2023-09-25
2023-09-29,SHORT,2023-09-29 10:00:00-04:00,33743.0,33818.0,33480.5,75,262.5,TP,33480.5,262.5,3.5,36,180,-6.9,276.2,125.0,2346,1.385,1.017,1.391,2307.0,4,2023-09-29,350.0,2023,2023-09,2023-W39,2023-09-25
2023-10-02,SHORT,2023-10-02 10:10:00-04:00,33359.6,33434.6,33097.1,75,262.5,SL,33434.6,-75.0,-1.0,2,10,-76.2,0.0,60.3,2432,1.401,1.033,1.287,2354.0,0,2023-10-02,-100.0,2023,2023-10,2023-W40,2023-10-02
2023-10-03,SHORT,2023-10-03 10:05:00-04:00,33180.6,33255.6,32918.1,75,262.5,SL,33255.6,-75.0,-1.0,1,5,-79.6,2.7,70.1,2394,1.305,1.008,1.327,2374.7,1,2023-10-03,-100.0,2023,2023-10,2023-W40,2023-10-02
2023-10-04,SHORT,2023-10-04 10:00:00-04:00,32922.1,32997.1,32659.6,75,262.5,SL,32997.1,-75.0,-1.0,16,80,-80.2,77.1,87.5,2472,1.417,1.05,1.689,2355.0,2,2023-10-04,-100.0,2023,2023-10,2023-W40,2023-10-02
2023-10-09,LONG,2023-10-09 10:00:00-04:00,33321.6,33246.6,33584.1,75,262.5,SL,33246.6,-75.0,-1.0,10,50,-86.1,44.3,116.8,2260,1.399,0.976,1.307,2314.7,0,2023-10-09,-100.0,2023,2023-10,2023-W41,2023-10-09
2023-10-10,LONG,2023-10-10 10:10:00-04:00,33746.8,33671.8,34009.3,75,262.5,TIMEOUT,33736.8,-10.0,-0.133,70,350,-44.4,138.5,107.1,2206,1.3,0.966,1.072,2284.3,1,2023-10-10,-13.3,2023,2023-10,2023-W41,2023-10-09
2023-10-12,SHORT,2023-10-12 10:00:00-04:00,33653.9,33728.9,33391.4,75,262.5,SL,33728.9,-75.0,-1.0,16,80,-78.3,26.8,139.0,2238,1.205,0.993,1.087,2254.0,3,2023-10-12,-100.0,2023,2023-10,2023-W41,2023-10-09
2023-10-13,LONG,2023-10-13 10:00:00-04:00,33838.8,33763.8,34101.3,75,262.5,SL,33763.8,-75.0,-1.0,2,10,-93.2,13.7,142.8,2406,1.499,1.046,1.462,2301.0,4,2023-10-13,-100.0,2023,2023-10,2023-W41,2023-10-09
2023-10-16,LONG,2023-10-16 10:10:00-04:00,33902.0,33827.0,34164.5,75,262.5,TIMEOUT,33981.3,79.3,1.057,70,350,-21.8,180.5,96.6,2138,1.258,0.953,0.983,2243.7,0,2023-10-16,105.7,2023,2023-10,2023-W42,2023-10-16
2023-10-18,SHORT,2023-10-18 10:00:00-04:00,33853.8,33928.8,33591.3,75,262.5,SL,33928.8,-75.0,-1.0,3,15,-96.1,16.5,88.3,2320,1.476,0.992,1.454,2338.7,2,2023-10-18,-100.0,2023,2023-10,2023-W42,2023-10-16
