score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.410796,1.535483,2.606568,0.609375,0.017713,152.339954,64,2.5,18,11,23,1.0,3,50.0
5.410796,1.535483,2.606568,0.609375,0.017713,152.339954,64,2.5,18,11,23,1.0,4,50.0
5.408264,1.478744,2.683299,0.571429,0.027473,218.909051,49,1.0,14,9,25,0.5,2,30.0
5.408011,1.510939,2.646125,0.568966,0.016201,251.0639,58,1.5,14,11,19,0.5,2,30.0
5.406293,1.535589,2.594537,0.603175,0.017684,151.400592,63,2.5,18,12,21,1.0,3,50.0
5.406293,1.535589,2.594537,0.603175,0.017684,151.400592,63,2.5,18,12,21,1.0,4,50.0
5.405697,1.500594,2.660452,0.54902,0.017708,198.820056,51,1.5,10,10,19,0.5,2,30.0
5.405561,1.493873,2.662692,0.559322,0.023997,263.180956,59,1.0,12,12,18,0.5,2,30.0
5.401674,1.537278,2.582147,0.59322,0.017755,138.438616,59,2.5,18,11,21,1.0,2,50.0
5.397766,1.485693,2.632434,0.586957,0.017422,200.243337,46,1.5,14,8,26,0.5,2,30.0
5.393023,1.502753,2.605717,0.568966,0.012288,245.598792,58,2.0,14,11,19,0.5,2,30.0
5.391626,1.494537,2.614423,0.561404,0.015681,242.566707,57,1.5,10,11,20,0.5,2,30.0
5.389293,1.500683,2.600518,0.559322,0.012682,231.4651,59,2.0,10,11,19,0.5,2,30.0
5.389286,1.490131,2.620538,0.54386,0.017391,228.595879,57,1.5,10,12,19,0.5,2,30.0
5.389245,1.49779,2.602695,0.561404,0.016668,240.675813,57,1.5,16,11,19,0.5,2,30.0
5.382363,1.47586,2.592562,0.586957,0.017684,196.119077,46,1.5,16,8,26,0.5,2,30.0
5.381235,1.488995,2.587295,0.559322,0.015774,265.157928,59,1.5,12,12,18,0.5,2,30.0
5.380917,1.476777,2.586672,0.586957,0.013097,197.304436,46,2.0,14,8,26,0.5,2,30.0
5.38079,1.487202,2.596379,0.542373,0.027582,143.269222,59,1.5,10,12,21,0.5,2,30.0
5.379111,1.513589,2.517457,0.627451,0.016708,121.159069,51,2.5,18,8,18,1.0,2,50.0
5.379111,1.513589,2.517457,0.627451,0.016708,121.159069,51,2.5,18,8,18,1.0,3,50.0
5.379111,1.513589,2.517457,0.627451,0.016708,121.159069,51,2.5,18,8,18,1.0,4,50.0
5.379111,1.513589,2.517457,0.627451,0.016708,121.159069,51,2.5,18,8,19,1.0,2,50.0
5.379111,1.513589,2.517457,0.627451,0.016708,121.159069,51,2.5,18,8,19,1.0,3,50.0
