date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2024-02-23,LONG,2024-02-23 10:00:00-05:00,39252.1,39202.1,39352.1,50,100.0,SL,39202.1,-50.0,-1.0,14,70,-64.2,50.5,151.5,1842,1.796,0.974,1.395,1891.3,4
2024-02-26,LONG,2024-02-26 10:00:00-05:00,39242.7,39192.7,39342.7,50,100.0,SL,39192.7,-50.0,-1.0,3,15,-58.3,9.5,109.5,1768,2.323,1.027,1.576,1721.0,0
2024-02-27,SHORT,2024-02-27 10:00:00-05:00,38974.1,39024.1,38874.1,50,100.0,TIMEOUT,38988.4,-14.3,-0.286,72,360,-41.5,78.3,85.5,1820,1.934,1.018,1.492,1788.7,1
2024-03-01,SHORT,2024-03-01 10:00:00-05:00,38866.3,38916.3,38766.3,50,100.0,SL,38916.3,-50.0,-1.0,1,5,-57.5,5.0,128.5,2030,2.195,1.112,1.808,1826.0,4
2024-03-05,SHORT,2024-03-05 10:05:00-05:00,38816.0,38866.0,38716.0,50,100.0,TP,38716.0,100.0,2.0,19,95,-41.5,151.5,130.0,1890,2.02,1.136,1.586,1663.3,1
2024-03-11,SHORT,2024-03-11 10:10:00-04:00,38513.2,38563.2,38413.2,50,100.0,SL,38563.2,-50.0,-1.0,9,45,-92.0,25.5,164.0,1740,1.296,0.85,0.703,2047.7,0
2024-03-13,LONG,2024-03-13 10:05:00-04:00,39130.3,39080.3,39230.3,50,100.0,TP,39230.3,100.0,2.0,40,200,-3.2,103.5,100.5,1436,1.69,0.884,1.025,1625.0,2
2024-03-14,SHORT,2024-03-14 10:00:00-04:00,38912.0,38962.0,38812.0,50,100.0,SL,38962.0,-50.0,-1.0,2,10,-53.5,4.5,122.5,2024,1.599,1.039,1.445,1948.3,3
2024-03-15,SHORT,2024-03-15 10:00:00-04:00,38745.2,38795.2,38645.2,50,100.0,SL,38795.2,-50.0,-1.0,2,10,-51.5,26.3,216.0,2068,1.661,1.015,1.358,2038.3,4
2024-03-18,LONG,2024-03-18 10:15:00-04:00,38861.9,38811.9,38961.9,50,100.0,SL,38811.9,-50.0,-1.0,41,205,-61.7,49.5,190.3,1440,1.371,0.814,0.607,1768.2,0
