date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2025-07-30,LONG,2025-07-30 10:25:00-04:00,44734.9,44674.9,44884.9,60,150.0,SL,44674.9,-60.0,-1.0,6,30,-63.5,27.0,88.5,890,1.239,0.897,0.68,992.7,2
2025-08-01,SHORT,2025-08-01 10:00:00-04:00,43429.0,43489.0,43279.0,60,150.0,SL,43489.0,-60.0,-1.0,2,10,-105.5,70.0,186.2,1172,1.258,1.022,1.231,1146.7,4
2025-08-04,LONG,2025-08-04 10:00:00-04:00,44020.5,43960.5,44170.5,60,150.0,SL,43960.5,-60.0,-1.0,1,5,-65.7,0.5,74.0,962,1.587,0.942,1.273,1021.0,0
2025-08-05,SHORT,2025-08-05 10:00:00-04:00,44109.8,44169.8,43959.8,60,150.0,TP,43959.8,150.0,2.5,9,45,-43.0,175.0,141.0,1140,1.887,1.154,1.926,988.0,1
2025-08-06,SHORT,2025-08-06 10:00:00-04:00,44155.1,44215.1,44005.1,60,150.0,SL,44215.1,-60.0,-1.0,10,50,-84.0,129.0,91.0,1070,1.639,0.951,1.325,1125.7,2
2025-08-07,SHORT,2025-08-07 10:00:00-04:00,44293.3,44353.3,44143.3,60,150.0,TP,44143.3,150.0,2.5,3,15,-16.0,163.0,79.5,1104,1.665,1.014,1.551,1089.0,3
2025-08-08,LONG,2025-08-08 10:00:00-04:00,44216.8,44156.8,44366.8,60,150.0,SL,44156.8,-60.0,-1.0,10,50,-100.0,69.0,90.3,902,1.429,0.894,1.034,1009.0,4
2025-08-11,SHORT,2025-08-11 10:00:00-04:00,44212.4,44272.4,44062.4,60,150.0,TP,44062.4,150.0,2.5,9,45,0.0,182.0,93.0,878,1.553,0.904,1.112,971.3,0
2025-08-12,LONG,2025-08-12 10:00:00-04:00,44358.6,44298.6,44508.6,60,150.0,TP,44508.6,150.0,2.5,48,240,-13.0,152.5,287.5,1122,1.233,1.011,1.186,1109.7,1
2025-08-13,LONG,2025-08-13 10:00:00-04:00,44880.3,44820.3,45030.3,60,150.0,SL,44820.3,-60.0,-1.0,4,20,-67.0,32.0,62.0,936,1.928,0.989,1.451,946.7,2
2025-08-15,SHORT,2025-08-15 10:00:00-04:00,45029.6,45089.6,44879.6,60,150.0,SL,45089.6,-60.0,-1.0,47,235,-70.0,124.0,75.5,1052,1.605,1.031,1.538,1020.7,4
2025-08-18,SHORT,2025-08-18 10:00:00-04:00,44903.9,44963.9,44753.9,60,150.0,SL,44963.9,-60.0,-1.0,2,10,-66.5,0.0,58.0,900,1.712,0.901,1.162,999.3,0
2025-08-19,LONG,2025-08-19 10:00:00-04:00,45157.1,45097.1,45307.1,60,150.0,SL,45097.1,-60.0,-1.0,9,45,-62.0,68.0,80.0,924,1.73,0.93,1.271,994.0,1
2025-08-20,SHORT,2025-08-20 10:05:00-04:00,44839.9,44899.9,44689.9,60,150.0,SL,44899.9,-60.0,-1.0,1,5,-60.5,9.0,81.3,1052,1.636,0.994,1.296,1058.3,2
2025-08-21,LONG,2025-08-21 10:00:00-04:00,44834.5,44774.5,44984.5,60,150.0,SL,44774.5,-60.0,-1.0,14,70,-89.0,63.0,62.0,1098,1.518,1.016,1.555,1080.7,3
2025-08-22,LONG,2025-08-22 10:00:00-04:00,45434.7,45374.7,45584.7,60,150.0,TP,45584.7,150.0,2.5,7,35,-42.0,164.5,118.0,1224,2.342,1.27,2.358,964.0,4
2025-08-25,SHORT,2025-08-25 10:00:00-04:00,45485.0,45545.0,45335.0,60,150.0,TP,45335.0,150.0,2.5,63,315,-22.0,179.5,69.5,900,1.744,0.936,1.272,961.3,0
2025-08-26,LONG,2025-08-26 10:00:00-04:00,45295.7,45235.7,45445.7,60,150.0,SL,45235.7,-60.0,-1.0,15,75,-61.8,39.0,63.3,942,1.603,0.963,1.329,978.3,1
2025-08-27,LONG,2025-08-27 10:00:00-04:00,45510.4,45450.4,45660.4,60,150.0,TIMEOUT,45571.7,61.3,1.022,72,360,-16.0,136.5,81.0,898,1.585,0.981,1.352,915.7,2
2025-08-28,SHORT,2025-08-28 10:00:00-04:00,45498.1,45558.1,45348.1,60,150.0,SL,45558.1,-60.0,-1.0,21,105,-65.5,40.7,56.0,994,1.513,0.956,1.234,1040.0,3
2025-08-29,SHORT,2025-08-29 10:00:00-04:00,45440.3,45500.3,45290.3,60,150.0,SL,45500.3,-60.0,-1.0,7,35,-66.0,53.0,95.2,1014,1.545,1.036,1.448,978.3,4
2025-09-01,LONG,2025-09-01 10:00:00-04:00,45555.1,45495.1,45705.1,60,150.0,TIMEOUT,45589.6,34.5,0.575,35,175,-8.5,61.0,47.3,482,1.592,1.1,1.364,438.0,0
2025-09-03,SHORT,2025-09-03 10:00:00-04:00,45135.5,45195.5,44985.5,60,150.0,SL,45195.5,-60.0,-1.0,4,20,-62.8,53.0,113.5,1066,1.629,1.011,1.488,1054.0,2
2025-09-04,LONG,2025-09-04 10:00:00-04:00,45302.3,45242.3,45452.3,60,150.0,SL,45242.3,-60.0,-1.0,1,5,-76.0,0.0,63.0,1002,1.62,1.011,1.478,991.3,3
2025-09-05,SHORT,2025-09-05 10:25:00-04:00,45385.0,45445.0,45235.0,60,150.0,TP,45235.0,150.0,2.5,5,25,-2.8,158.2,259.5,1140,1.23,1.05,1.215,1085.3,4
2025-09-08,SHORT,2025-09-08 10:00:00-04:00,45316.0,45376.0,45166.0,60,150.0,SL,45376.0,-60.0,-1.0,2,10,-69.7,13.0,101.5,948,1.77,0.93,1.274,1019.0,0
2025-09-09,SHORT,2025-09-09 10:20:00-04:00,45517.7,45577.7,45367.7,60,150.0,SL,45577.7,-60.0,-1.0,5,25,-77.5,73.8,83.5,900,1.213,0.883,0.516,1019.7,1
2025-09-11,LONG,2025-09-11 10:00:00-04:00,45959.0,45899.0,46109.0,60,150.0,TP,46109.0,150.0,2.5,19,95,-6.7,155.3,147.5,1002,1.209,0.996,0.959,1006.0,3
2025-09-12,SHORT,2025-09-12 10:15:00-04:00,45979.9,46039.9,45829.9,60,150.0,TP,45829.9,150.0,2.5,65,325,-28.2,165.5,77.0,842,1.417,0.875,0.769,962.7,4
2025-09-15,SHORT,2025-09-15 10:00:00-04:00,45869.1,45929.1,45719.1,60,150.0,SL,45929.1,-60.0,-1.0,5,25,-76.0,31.3,63.5,1020,1.86,0.966,1.394,1056.0,0
2025-09-16,SHORT,2025-09-16 10:00:00-04:00,45692.4,45752.4,45542.4,60,150.0,SL,45752.4,-60.0,-1.0,3,15,-72.3,26.7,83.7,1044,1.843,1.011,1.487,1033.0,1
2025-09-17,LONG,2025-09-17 10:00:00-04:00,46028.8,45968.8,46178.8,60,150.0,SL,45968.8,-60.0,-1.0,3,15,-77.0,9.0,84.5,934,1.876,0.966,1.379,967.0,2
2025-09-19,SHORT,2025-09-19 10:00:00-04:00,46187.1,46247.1,46037.1,60,150.0,SL,46247.1,-60.0,-1.0,3,15,-61.0,5.5,158.0,1032,1.603,0.948,1.227,1088.7,4
2025-09-22,LONG,2025-09-22 10:00:00-04:00,46207.3,46147.3,46357.3,60,150.0,TP,46357.3,150.0,2.5,12,60,-16.7,178.8,67.5,1024,1.889,1.026,1.564,997.7,0
2025-09-23,LONG,2025-09-23 10:00:00-04:00,46682.9,46622.9,46832.9,60,150.0,SL,46622.9,-60.0,-1.0,5,25,-69.5,59.5,26.5,1044,2.061,1.042,1.611,1002.0,1
2025-09-24,SHORT,2025-09-24 10:30:00-04:00,46348.7,46408.7,46198.7,60,150.0,TP,46198.7,150.0,2.5,16,80,-45.8,170.5,60.0,830,1.233,0.834,0.491,995.3,2
2025-09-29,SHORT,2025-09-29 10:00:00-04:00,46207.7,46267.7,46057.7,60,150.0,SL,46267.7,-60.0,-1.0,1,5,-73.7,6.0,91.0,988,1.654,0.936,1.237,1055.7,0
2025-09-30,LONG,2025-09-30 10:00:00-04:00,46333.0,46273.0,46483.0,60,150.0,SL,46273.0,-60.0,-1.0,2,10,-65.0,9.5,87.0,1030,1.846,1.021,1.539,1008.7,1
2025-10-01,LONG,2025-10-01 10:00:00-04:00,46345.4,46285.4,46495.4,60,150.0,TP,46495.4,150.0,2.5,17,85,-15.0,157.0,104.0,1100,1.554,1.01,1.412,1088.7,2
2025-10-02,LONG,2025-10-02 10:00:00-04:00,46507.1,46447.1,46657.1,60,150.0,SL,46447.1,-60.0,-1.0,1,5,-79.0,3.0,56.2,1024,1.831,0.959,1.325,1067.7,3
2025-10-03,LONG,2025-10-03 10:00:00-04:00,46754.5,46694.5,46904.5,60,150.0,TP,46904.5,150.0,2.5,5,25,-27.0,173.0,68.2,1030,1.827,1.062,1.652,969.7,4
2025-10-06,SHORT,2025-10-06 10:00:00-04:00,46498.4,46558.4,46348.4,60,150.0,SL,46558.4,-60.0,-1.0,5,25,-79.7,63.1,56.4,1260,1.553,1.024,1.56,1230.0,0
2025-10-07,SHORT,2025-10-07 10:00:00-04:00,46691.6,46751.6,46541.6,60,150.0,TP,46541.6,150.0,2.5,21,105,-37.4,159.9,87.1,1224,1.641,0.975,1.363,1255.3,1
2025-10-08,SHORT,2025-10-08 10:00:00-04:00,46637.0,46697.0,46487.0,60,150.0,SL,46697.0,-60.0,-1.0,2,10,-65.0,12.8,67.2,1244,1.649,1.016,1.523,1224.0,2
2025-10-09,SHORT,2025-10-09 10:00:00-04:00,46483.5,46543.5,46333.5,60,150.0,TP,46333.5,150.0,2.5,36,180,-34.8,166.1,41.6,1232,1.684,0.978,1.386,1260.0,3
2025-10-10,LONG,2025-10-10 10:05:00-04:00,46541.0,46481.0,46691.0,60,150.0,SL,46481.0,-60.0,-1.0,2,10,-80.0,6.0,98.5,948,1.688,0.945,1.158,1003.0,4
2025-10-13,LONG,2025-10-13 10:00:00-04:00,46006.6,45946.6,46156.6,60,150.0,SL,45946.6,-60.0,-1.0,1,5,-65.0,0.0,123.2,1150,1.425,0.959,1.232,1199.7,0
2025-10-14,LONG,2025-10-14 10:15:00-04:00,45866.9,45806.9,46016.9,60,150.0,TP,46016.9,150.0,2.5,6,30,-40.0,153.5,244.0,1108,1.228,0.922,0.777,1202.3,1
2025-10-15,LONG,2025-10-15 10:00:00-04:00,46672.2,46612.2,46822.2,60,150.0,SL,46612.2,-60.0,-1.0,3,15,-60.0,38.0,95.5,1008,1.446,0.885,1.034,1139.0,2
2025-10-16,SHORT,2025-10-16 10:05:00-04:00,46299.0,46359.0,46149.0,60,150.0,SL,46359.0,-60.0,-1.0,2,10,-60.0,50.0,105.5,1116,1.498,0.95,1.148,1174.7,3
2025-10-17,LONG,2025-10-17 10:10:00-04:00,46186.7,46126.7,46336.7,60,150.0,SL,46126.7,-60.0,-1.0,1,5,-96.2,36.8,165.0,1164,1.21,0.973,0.998,1196.0,4
