date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2026-01-08,SHORT,2026-01-08 10:00:00-05:00,25425.8,25485.8,25305.8,60,120.0,SL,25485.8,-60.0,-1.0,1,5,-70.6,7.4,137.1,1272,1.403,0.998,1.439,1274.3,3
2026-01-12,LONG,2026-01-12 10:00:00-05:00,25704.0,25644.0,25824.0,60,120.0,TP,25824.0,120.0,2.0,40,200,-11.2,120.7,127.6,1204,1.344,0.968,1.259,1243.7,0
2026-01-14,SHORT,2026-01-14 10:00:00-05:00,25390.4,25450.4,25270.4,60,120.0,SL,25450.4,-60.0,-1.0,2,10,-116.8,7.4,176.3,1278,1.274,1.001,1.44,1276.3,2
2026-01-16,SHORT,2026-01-16 10:00:00-05:00,25569.6,25629.6,25449.6,60,120.0,TP,25449.6,120.0,2.0,8,40,-34.1,138.5,81.5,1256,1.347,1.005,1.44,1249.3,4
2026-01-26,LONG,2026-01-26 10:00:00-05:00,25709.7,25649.7,25829.7,60,120.0,TIMEOUT,25712.2,2.5,0.042,72,360,-36.4,91.4,166.0,1176,1.272,0.962,1.236,1222.3,0
2026-01-27,LONG,2026-01-27 10:00:00-05:00,25929.8,25869.8,26049.8,60,120.0,TIMEOUT,25951.0,21.2,0.353,72,360,-33.3,57.2,75.2,1170,1.303,0.963,1.227,1215.0,1
2026-01-29,SHORT,2026-01-29 10:00:00-05:00,25676.3,25736.3,25556.3,60,120.0,TP,25556.3,120.0,2.0,7,35,-27.0,142.0,145.2,1290,1.289,0.993,1.394,1299.0,3
2026-02-02,LONG,2026-02-02 10:00:00-05:00,25684.1,25624.1,25804.1,60,120.0,TP,25804.1,120.0,2.0,24,120,-5.5,125.3,314.3,1296,1.217,1.006,1.508,1287.7,0
2026-02-03,SHORT,2026-02-03 10:00:00-05:00,25504.6,25564.6,25384.6,60,120.0,TP,25384.6,120.0,2.0,4,20,-22.8,135.6,104.2,1306,1.313,1.0,1.467,1305.7,1
2026-02-25,LONG,2026-02-25 10:00:00-05:00,25283.6,25223.6,25403.6,60,120.0,SL,25223.6,-60.0,-1.0,11,55,-69.4,8.7,159.2,1222,1.232,0.994,1.296,1229.7,2
2026-02-26,SHORT,2026-02-26 10:00:00-05:00,25125.7,25185.7,25005.7,60,120.0,TP,25005.7,120.0,2.0,3,15,-2.2,226.8,88.3,1260,1.231,0.998,1.298,1262.7,3
2026-04-16,SHORT,2026-04-16 10:00:00-04:00,26182.6,26242.6,26062.6,60,120.0,SL,26242.6,-60.0,-1.0,8,40,-60.5,19.2,120.7,1118,1.207,0.99,1.279,1129.7,3
2026-05-05,LONG,2026-05-05 10:00:00-04:00,28002.3,27942.3,28122.3,60,120.0,SL,27942.3,-60.0,-1.0,3,15,-66.0,9.6,186.6,1138,1.212,1.006,1.432,1131.5,1
2026-05-26,LONG,2026-05-26 10:00:00-04:00,29940.9,29880.9,30060.9,60,120.0,TP,30060.9,120.0,2.0,7,35,-15.8,125.7,185.7,1150,1.248,1.008,1.479,1140.7,1
